5.0, {'nt1': 0.0, 'nt10': 0.0, 'nt11': 0.0, 'nt12': 0.0, 'nt13': 0.0, 'nt14': 0.0, 'nt15': 0.0, 'nt16': 0.0, 'nt2': 0.0, 'nt3': -0.004464286, 'nt4': 0.0, 'nt5': 0.0, 'nt6': 0.0, 'nt7': 0.0, 'nt8': 0.0, 'nt9': 0.0}, {'nt1': 0, 'nt10': 0, 'nt11': 0, 'nt12': 0, 'nt13': 0, 'nt14': 0, 'nt15': 0, 'nt16': 0, 'nt2': 0, 'nt3': 1, 'nt4': 0, 'nt5': 0, 'nt6': 0, 'nt7': 0, 'nt8': 0, 'nt9': 0}, {'nt1': 0, 'nt10': 0, 'nt11': 0, 'nt12': 0, 'nt13': 0, 'nt14': 0, 'nt15': 0, 'nt16': 0, 'nt2': 0, 'nt3': 1, 'nt4': 0, 'nt5': 0, 'nt6': 0, 'nt7': 0, 'nt8': 0, 'nt9': 0}, 
510.0, {'nt1': 0.0, 'nt10': -0.116071425, 'nt11': -3.2098215, 'nt12': 0.0, 'nt13': -0.04910714, 'nt14': 0.0, 'nt15': -0.5401786, 'nt16': 0.0, 'nt2': -2.2098215, 'nt3': -4.0, 'nt4': 0.0, 'nt5': 0.0, 'nt6': -0.125, 'nt7': -4.0, 'nt8': 0.0, 'nt9': 0.0}, {'nt1': 0, 'nt10': 2, 'nt11': 12, 'nt12': 0, 'nt13': 2, 'nt14': 0, 'nt15': 7, 'nt16': 0, 'nt2': 12, 'nt3': 20, 'nt4': 0, 'nt5': 0, 'nt6': 3, 'nt7': 16, 'nt8': 0, 'nt9': 0}, {'nt1': 0, 'nt10': 2, 'nt11': 13, 'nt12': 0, 'nt13': 2, 'nt14': 0, 'nt15': 7, 'nt16': 0, 'nt2': 22, 'nt3': 46, 'nt4': 0, 'nt5': 0, 'nt6': 3, 'nt7': 25, 'nt8': 0, 'nt9': 0}, 
515.0, {'nt1': -0.017857144, 'nt10': -0.19642857, 'nt11': -3.5223215, 'nt12': 0.0, 'nt13': -0.09375, 'nt14': 0.0, 'nt15': -0.6964286, 'nt16': 0.0, 'nt2': -2.674107, 'nt3': -4.0, 'nt4': -0.03125, 'nt5': 0.0, 'nt6': -0.21875, 'nt7': -4.0, 'nt8': 0.0, 'nt9': 0.0}, {'nt1': 1, 'nt10': 4, 'nt11': 14, 'nt12': 0, 'nt13': 2, 'nt14': 0, 'nt15': 7, 'nt16': 0, 'nt2': 12, 'nt3': 20, 'nt4': 2, 'nt5': 0, 'nt6': 5, 'nt7': 16, 'nt8': 0, 'nt9': 0}, {'nt1': 1, 'nt10': 4, 'nt11': 15, 'nt12': 0, 'nt13': 2, 'nt14': 0, 'nt15': 7, 'nt16': 0, 'nt2': 21, 'nt3': 49, 'nt4': 2, 'nt5': 0, 'nt6': 5, 'nt7': 25, 'nt8': 0, 'nt9': 0}, 
520.0, {'nt1': -0.04464286, 'nt10': -0.3080357, 'nt11': -3.8660715, 'nt12': 0.0, 'nt13': 0.0, 'nt14': 0.0, 'nt15': -0.8526786, 'nt16': 0.0, 'nt2': -3.1517856, 'nt3': -4.0, 'nt4': 0.0, 'nt5': 0.0, 'nt6': -0.33035713, 'nt7': -4.0, 'nt8': 0.0, 'nt9': 0.0}, {'nt1': 2, 'nt10': 5, 'nt11': 14, 'nt12': 0, 'nt13': 0, 'nt14': 0, 'nt15': 7, 'nt16': 0, 'nt2': 13, 'nt3': 22, 'nt4': 0, 'nt5': 0, 'nt6': 5, 'nt7': 16, 'nt8': 0, 'nt9': 0}, {'nt1': 2, 'nt10': 5, 'nt11': 16, 'nt12': 0, 'nt13': 0, 'nt14': 0, 'nt15': 7, 'nt16': 0, 'nt2': 22, 'nt3': 51, 'nt4': 0, 'nt5': 0, 'nt6': 5, 'nt7': 25, 'nt8': 0, 'nt9': 0}, 
525.0, {'nt1': -0.026785715, 'nt10': -0.41964287, 'nt11': -4.0, 'nt12': 0.0, 'nt13': -0.004464286, 'nt14': -0.013392857, 'nt15': -0.63839287, 'nt16': 0.0, 'nt2': -3.642857, 'nt3': -4.0, 'nt4': 0.0, 'nt5': 0.0, 'nt6': -0.4419643, 'nt7': -4.0, 'nt8': 0.0, 'nt9': 0.0}, {'nt1': 1, 'nt10': 5, 'nt11': 14, 'nt12': 0, 'nt13': 1, 'nt14': 2, 'nt15': 5, 'nt16': 0, 'nt2': 13, 'nt3': 21, 'nt4': 0, 'nt5': 0, 'nt6': 5, 'nt7': 16, 'nt8': 0, 'nt9': 0}, {'nt1': 1, 'nt10': 5, 'nt11': 17, 'nt12': 0, 'nt13': 1, 'nt14': 2, 'nt15': 6, 'nt16': 0, 'nt2': 22, 'nt3': 49, 'nt4': 0, 'nt5': 0, 'nt6': 5, 'nt7': 25, 'nt8': 0, 'nt9': 0}, 
530.0, {'nt1': 0.0, 'nt10': -0.53125, 'nt11': -4.0, 'nt12': 0.0, 'nt13': 0.0, 'nt14': -0.026785715, 'nt15': -0.74553573, 'nt16': 0.0, 'nt2': -4.0, 'nt3': -4.0, 'nt4': 0.0, 'nt5': 0.0, 'nt6': -0.5625, 'nt7': -4.0, 'nt8': 0.0, 'nt9': 0.0}, {'nt1': 0, 'nt10': 5, 'nt11': 14, 'nt12': 0, 'nt13': 0, 'nt14': 1, 'nt15': 5, 'nt16': 0, 'nt2': 13, 'nt3': 20, 'nt4': 0, 'nt5': 0, 'nt6': 6, 'nt7': 16, 'nt8': 0, 'nt9': 0}, {'nt1': 0, 'nt10': 5, 'nt11': 18, 'nt12': 0, 'nt13': 0, 'nt14': 1, 'nt15': 5, 'nt16': 0, 'nt2': 22, 'nt3': 48, 'nt4': 0, 'nt5': 0, 'nt6': 6, 'nt7': 25, 'nt8': 0, 'nt9': 0}, 
535.0, {'nt1': 0.0, 'nt10': -0.64285713, 'nt11': -3.5982144, 'nt12': 0.0, 'nt13': -0.026785715, 'nt14': -0.05357143, 'nt15': -0.85714287, 'nt16': 0.0, 'nt2': -4.0, 'nt3': -4.0, 'nt4': 0.0, 'nt5': 0.0, 'nt6': -0.7098214, 'nt7': -4.0, 'nt8': 0.0, 'nt9': 0.0}, {'nt1': 0, 'nt10': 5, 'nt11': 12, 'nt12': 0, 'nt13': 2, 'nt14': 2, 'nt15': 5, 'nt16': 0, 'nt2': 15, 'nt3': 21, 'nt4': 0, 'nt5': 0, 'nt6': 7, 'nt7': 20, 'nt8': 0, 'nt9': 0}, {'nt1': 0, 'nt10': 5, 'nt11': 15, 'nt12': 0, 'nt13': 2, 'nt14': 2, 'nt15': 5, 'nt16': 0, 'nt2': 24, 'nt3': 48, 'nt4': 0, 'nt5': 0, 'nt6': 7, 'nt7': 29, 'nt8': 0, 'nt9': 0}, 
540.0, {'nt1': 0.0, 'nt10': -0.3705357, 'nt11': -3.9330356, 'nt12': 0.0, 'nt13': -0.071428575, 'nt14': 0.0, 'nt15': -0.96875, 'nt16': 0.0, 'nt2': -4.0, 'nt3': -4.0, 'nt4': 0.0, 'nt5': 0.0, 'nt6': -0.87946427, 'nt7': -4.0, 'nt8': 0.0, 'nt9': 0.0}, {'nt1': 0, 'nt10': 3, 'nt11': 12, 'nt12': 0, 'nt13': 2, 'nt14': 0, 'nt15': 5, 'nt16': 0, 'nt2': 17, 'nt3': 21, 'nt4': 0, 'nt5': 0, 'nt6': 8, 'nt7': 23, 'nt8': 0, 'nt9': 0}, {'nt1': 0, 'nt10': 3, 'nt11': 15, 'nt12': 0, 'nt13': 2, 'nt14': 0, 'nt15': 5, 'nt16': 0, 'nt2': 26, 'nt3': 48, 'nt4': 0, 'nt5': 0, 'nt6': 8, 'nt7': 32, 'nt8': 0, 'nt9': 0}, 
545.0, {'nt1': -0.008928572, 'nt10': -0.4375, 'nt11': -4.0, 'nt12': 0.0, 'nt13': -0.12053572, 'nt14': 0.0, 'nt15': -1.0803572, 'nt16': 0.0, 'nt2': -4.0, 'nt3': -4.0, 'nt4': 0.0, 'nt5': 0.0, 'nt6': -1.0580357, 'nt7': -4.0, 'nt8': 0.0, 'nt9': 0.0}, {'nt1': 1, 'nt10': 3, 'nt11': 12, 'nt12': 0, 'nt13': 3, 'nt14': 0, 'nt15': 5, 'nt16': 0, 'nt2': 17, 'nt3': 21, 'nt4': 0, 'nt5': 0, 'nt6': 8, 'nt7': 24, 'nt8': 0, 'nt9': 0}, {'nt1': 1, 'nt10': 3, 'nt11': 16, 'nt12': 0, 'nt13': 3, 'nt14': 0, 'nt15': 5, 'nt16': 0, 'nt2': 26, 'nt3': 48, 'nt4': 0, 'nt5': 0, 'nt6': 8, 'nt7': 33, 'nt8': 0, 'nt9': 0}, 
550.0, {'nt1': -0.03125, 'nt10': -0.50446427, 'nt11': -4.0, 'nt12': 0.0, 'nt13': -0.026785715, 'nt14': 0.0, 'nt15': -0.9375, 'nt16': 0.0, 'nt2': -4.0, 'nt3': -4.0, 'nt4': 0.0, 'nt5': 0.0, 'nt6': -0.77678573, 'nt7': -4.0, 'nt8': 0.0, 'nt9': 0.0}, {'nt1': 1, 'nt10': 3, 'nt11': 12, 'nt12': 0, 'nt13': 1, 'nt14': 0, 'nt15': 4, 'nt16': 0, 'nt2': 16, 'nt3': 22, 'nt4': 0, 'nt5': 0, 'nt6': 6, 'nt7': 23, 'nt8': 0, 'nt9': 0}, {'nt1': 1, 'nt10': 3, 'nt11': 19, 'nt12': 0, 'nt13': 1, 'nt14': 0, 'nt15': 4, 'nt16': 0, 'nt2': 25, 'nt3': 48, 'nt4': 0, 'nt5': 0, 'nt6': 6, 'nt7': 31, 'nt8': 0, 'nt9': 0}, 
555.0, {'nt1': -0.07589286, 'nt10': -0.5714286, 'nt11': -4.0, 'nt12': 0.0, 'nt13': -0.04910714, 'nt14': 0.0, 'nt15': -1.0267857, 'nt16': 0.0, 'nt2': -4.0, 'nt3': -4.0, 'nt4': 0.0, 'nt5': 0.0, 'nt6': -0.91071427, 'nt7': -4.0, 'nt8': 0.0, 'nt9': 0.0}, {'nt1': 2, 'nt10': 3, 'nt11': 12, 'nt12': 0, 'nt13': 1, 'nt14': 0, 'nt15': 4, 'nt16': 0, 'nt2': 16, 'nt3': 23, 'nt4': 0, 'nt5': 0, 'nt6': 6, 'nt7': 23, 'nt8': 0, 'nt9': 0}, {'nt1': 2, 'nt10': 3, 'nt11': 20, 'nt12': 0, 'nt13': 1, 'nt14': 0, 'nt15': 4, 'nt16': 0, 'nt2': 25, 'nt3': 45, 'nt4': 0, 'nt5': 0, 'nt6': 6, 'nt7': 32, 'nt8': 0, 'nt9': 0}, 
560.0, {'nt1': -0.13839285, 'nt10': -0.63839287, 'nt11': -4.0, 'nt12': 0.0, 'nt13': 0.0, 'nt14': 0.0, 'nt15': -0.54464287, 'nt16': 0.0, 'nt2': -4.0, 'nt3': -4.0, 'nt4': 0.0, 'nt5': 0.0, 'nt6': -0.57589287, 'nt7': -4.0, 'nt8': 0.0, 'nt9': 0.0}, {'nt1': 3, 'nt10': 3, 'nt11': 11, 'nt12': 0, 'nt13': 0, 'nt14': 0, 'nt15': 2, 'nt16': 0, 'nt2': 16, 'nt3': 23, 'nt4': 0, 'nt5': 0, 'nt6': 4, 'nt7': 23, 'nt8': 0, 'nt9': 0}, {'nt1': 3, 'nt10': 3, 'nt11': 18, 'nt12': 0, 'nt13': 0, 'nt14': 0, 'nt15': 2, 'nt16': 0, 'nt2': 23, 'nt3': 41, 'nt4': 0, 'nt5': 0, 'nt6': 4, 'nt7': 32, 'nt8': 0, 'nt9': 0}, 
565.0, {'nt1': -0.20982143, 'nt10': -0.70535713, 'nt11': -3.111607, 'nt12': 0.0, 'nt13': -0.03125, 'nt14': -0.017857144, 'nt15': -0.29017857, 'nt16': 0.0, 'nt2': -4.0, 'nt3': -4.0, 'nt4': 0.0, 'nt5': 0.0, 'nt6': -0.27232143, 'nt7': -4.0, 'nt8': 0.0, 'nt9': 0.0}, {'nt1': 4, 'nt10': 3, 'nt11': 9, 'nt12': 0, 'nt13': 2, 'nt14': 2, 'nt15': 1, 'nt16': 0, 'nt2': 16, 'nt3': 24, 'nt4': 0, 'nt5': 0, 'nt6': 2, 'nt7': 21, 'nt8': 0, 'nt9': 0}, {'nt1': 4, 'nt10': 3, 'nt11': 16, 'nt12': 0, 'nt13': 2, 'nt14': 2, 'nt15': 1, 'nt16': 0, 'nt2': 23, 'nt3': 44, 'nt4': 0, 'nt5': 0, 'nt6': 2, 'nt7': 28, 'nt8': 0, 'nt9': 0}, 
570.0, {'nt1': -0.29910713, 'nt10': -0.51339287, 'nt11': -3.46875, 'nt12': 0.0, 'nt13': -0.09821428, 'nt14': -0.0625, 'nt15': -0.3125, 'nt16': 0.0, 'nt2': -4.0, 'nt3': -4.0, 'nt4': 0.0, 'nt5': 0.0, 'nt6': -0.3169643, 'nt7': -4.0, 'nt8': 0.0, 'nt9': 0.0}, {'nt1': 4, 'nt10': 3, 'nt11': 9, 'nt12': 0, 'nt13': 3, 'nt14': 2, 'nt15': 1, 'nt16': 0, 'nt2': 15, 'nt3': 24, 'nt4': 0, 'nt5': 0, 'nt6': 2, 'nt7': 19, 'nt8': 0, 'nt9': 0}, {'nt1': 4, 'nt10': 3, 'nt11': 16, 'nt12': 0, 'nt13': 3, 'nt14': 2, 'nt15': 1, 'nt16': 0, 'nt2': 21, 'nt3': 44, 'nt4': 0, 'nt5': 0, 'nt6': 2, 'nt7': 24, 'nt8': 0, 'nt9': 0}, 
575.0, {'nt1': -0.15178572, 'nt10': 0.0, 'nt11': -3.825893, 'nt12': 0.0, 'nt13': -0.06696428, 'nt14': -0.013392857, 'nt15': 0.0, 'nt16': 0.0, 'nt2': -4.0, 'nt3': -4.0, 'nt4': -0.02232143, 'nt5': 0.0, 'nt6': -0.36160713, 'nt7': -4.0, 'nt8': 0.0, 'nt9': 0.0}, {'nt1': 3, 'nt10': 0, 'nt11': 9, 'nt12': 0, 'nt13': 2, 'nt14': 1, 'nt15': 0, 'nt16': 0, 'nt2': 15, 'nt3': 24, 'nt4': 2, 'nt5': 0, 'nt6': 2, 'nt7': 17, 'nt8': 0, 'nt9': 0}, {'nt1': 3, 'nt10': 0, 'nt11': 16, 'nt12': 0, 'nt13': 2, 'nt14': 1, 'nt15': 0, 'nt16': 0, 'nt2': 20, 'nt3': 50, 'nt4': 2, 'nt5': 0, 'nt6': 2, 'nt7': 20, 'nt8': 0, 'nt9': 0}, 
580.0, {'nt1': -0.21875, 'nt10': -0.008928572, 'nt11': -4.0, 'nt12': 0.0, 'nt13': 0.0, 'nt14': -0.035714287, 'nt15': 0.0, 'nt16': 0.0, 'nt2': -4.0, 'nt3': -4.0, 'nt4': -0.084821425, 'nt5': 0.0, 'nt6': 0.0, 'nt7': -4.0, 'nt8': 0.0, 'nt9': 0.0}, {'nt1': 3, 'nt10': 1, 'nt11': 9, 'nt12': 0, 'nt13': 0, 'nt14': 1, 'nt15': 0, 'nt16': 0, 'nt2': 13, 'nt3': 23, 'nt4': 3, 'nt5': 0, 'nt6': 0, 'nt7': 17, 'nt8': 0, 'nt9': 0}, {'nt1': 3, 'nt10': 1, 'nt11': 16, 'nt12': 0, 'nt13': 0, 'nt14': 1, 'nt15': 0, 'nt16': 0, 'nt2': 18, 'nt3': 52, 'nt4': 3, 'nt5': 0, 'nt6': 0, 'nt7': 20, 'nt8': 0, 'nt9': 0}, 
585.0, {'nt1': -0.06696428, 'nt10': -0.08035714, 'nt11': -4.0, 'nt12': 0.0, 'nt13': 0.0, 'nt14': 0.0, 'nt15': 0.0, 'nt16': 0.0, 'nt2': -4.0, 'nt3': -4.0, 'nt4': -0.15178572, 'nt5': 0.0, 'nt6': 0.0, 'nt7': -4.0, 'nt8': 0.0, 'nt9': 0.0}, {'nt1': 2, 'nt10': 5, 'nt11': 10, 'nt12': 0, 'nt13': 0, 'nt14': 0, 'nt15': 0, 'nt16': 0, 'nt2': 13, 'nt3': 24, 'nt4': 3, 'nt5': 0, 'nt6': 0, 'nt7': 17, 'nt8': 0, 'nt9': 0}, {'nt1': 2, 'nt10': 5, 'nt11': 19, 'nt12': 0, 'nt13': 0, 'nt14': 0, 'nt15': 0, 'nt16': 0, 'nt2': 18, 'nt3': 54, 'nt4': 3, 'nt5': 0, 'nt6': 0, 'nt7': 22, 'nt8': 0, 'nt9': 0}, 
590.0, {'nt1': 0.0, 'nt10': -0.19196428, 'nt11': -4.0, 'nt12': 0.0, 'nt13': 0.0, 'nt14': -0.008928572, 'nt15': -0.017857144, 'nt16': -0.013392857, 'nt2': -4.0, 'nt3': -4.0, 'nt4': -0.21875, 'nt5': 0.0, 'nt6': -0.017857144, 'nt7': -4.0, 'nt8': 0.0, 'nt9': 0.0}, {'nt1': 0, 'nt10': 5, 'nt11': 13, 'nt12': 0, 'nt13': 0, 'nt14': 1, 'nt15': 2, 'nt16': 1, 'nt2': 12, 'nt3': 23, 'nt4': 3, 'nt5': 0, 'nt6': 1, 'nt7': 16, 'nt8': 0, 'nt9': 0}, {'nt1': 0, 'nt10': 5, 'nt11': 24, 'nt12': 0, 'nt13': 0, 'nt14': 1, 'nt15': 2, 'nt16': 1, 'nt2': 20, 'nt3': 59, 'nt4': 3, 'nt5': 0, 'nt6': 1, 'nt7': 21, 'nt8': 0, 'nt9': 0}, 
595.0, {'nt1': -0.008928572, 'nt10': -0.30357143, 'nt11': -4.0, 'nt12': 0.0, 'nt13': -0.008928572, 'nt14': -0.0625, 'nt15': -0.008928572, 'nt16': 0.0, 'nt2': -4.0, 'nt3': -4.0, 'nt4': -0.17857143, 'nt5': 0.0, 'nt6': 0.0, 'nt7': -4.0, 'nt8': 0.0, 'nt9': 0.0}, {'nt1': 1, 'nt10': 5, 'nt11': 13, 'nt12': 0, 'nt13': 1, 'nt14': 2, 'nt15': 1, 'nt16': 0, 'nt2': 12, 'nt3': 21, 'nt4': 2, 'nt5': 0, 'nt6': 0, 'nt7': 13, 'nt8': 0, 'nt9': 0}, {'nt1': 1, 'nt10': 5, 'nt11': 25, 'nt12': 0, 'nt13': 1, 'nt14': 4, 'nt15': 1, 'nt16': 0, 'nt2': 21, 'nt3': 59, 'nt4': 2, 'nt5': 0, 'nt6': 0, 'nt7': 16, 'nt8': 0, 'nt9': 0}, 
600.0, {'nt1': 0.0, 'nt10': -0.4375, 'nt11': -3.044643, 'nt12': 0.0, 'nt13': -0.03125, 'nt14': -0.20089285, 'nt15': -0.04464286, 'nt16': -0.026785715, 'nt2': -4.0, 'nt3': -4.0, 'nt4': 0.0, 'nt5': 0.0, 'nt6': -0.04017857, 'nt7': -4.0, 'nt8': 0.0, 'nt9': 0.0}, {'nt1': 0, 'nt10': 7, 'nt11': 11, 'nt12': 0, 'nt13': 1, 'nt14': 4, 'nt15': 2, 'nt16': 2, 'nt2': 12, 'nt3': 23, 'nt4': 0, 'nt5': 0, 'nt6': 2, 'nt7': 13, 'nt8': 0, 'nt9': 0}, {'nt1': 0, 'nt10': 7, 'nt11': 20, 'nt12': 0, 'nt13': 1, 'nt14': 8, 'nt15': 3, 'nt16': 2, 'nt2': 21, 'nt3': 57, 'nt4': 0, 'nt5': 0, 'nt6': 2, 'nt7': 16, 'nt8': 0, 'nt9': 0}, 
605.0, {'nt1': 0.0, 'nt10': -0.4732143, 'nt11': -3.549107, 'nt12': 0.0, 'nt13': -0.0625, 'nt14': -0.4017857, 'nt15': -0.084821425, 'nt16': 0.0, 'nt2': -4.0, 'nt3': -4.0, 'nt4': 0.0, 'nt5': 0.0, 'nt6': -0.084821425, 'nt7': -4.0, 'nt8': 0.0, 'nt9': 0.0}, {'nt1': 0, 'nt10': 6, 'nt11': 15, 'nt12': 0, 'nt13': 2, 'nt14': 5, 'nt15': 2, 'nt16': 0, 'nt2': 12, 'nt3': 21, 'nt4': 0, 'nt5': 0, 'nt6': 2, 'nt7': 13, 'nt8': 0, 'nt9': 0}, {'nt1': 0, 'nt10': 6, 'nt11': 24, 'nt12': 0, 'nt13': 2, 'nt14': 9, 'nt15': 2, 'nt16': 0, 'nt2': 21, 'nt3': 56, 'nt4': 0, 'nt5': 0, 'nt6': 2, 'nt7': 16, 'nt8': 0, 'nt9': 0}, 
610.0, {'nt1': -0.017857144, 'nt10': -0.60714287, 'nt11': -4.0, 'nt12': 0.0, 'nt13': -0.12053572, 'nt14': -0.41964287, 'nt15': -0.12946428, 'nt16': 0.0, 'nt2': -4.0, 'nt3': -4.0, 'nt4': 0.0, 'nt5': 0.0, 'nt6': -0.12946428, 'nt7': -4.0, 'nt8': 0.0, 'nt9': 0.0}, {'nt1': 2, 'nt10': 6, 'nt11': 15, 'nt12': 0, 'nt13': 4, 'nt14': 4, 'nt15': 2, 'nt16': 0, 'nt2': 12, 'nt3': 21, 'nt4': 0, 'nt5': 0, 'nt6': 2, 'nt7': 13, 'nt8': 0, 'nt9': 0}, {'nt1': 2, 'nt10': 6, 'nt11': 24, 'nt12': 0, 'nt13': 4, 'nt14': 7, 'nt15': 2, 'nt16': 0, 'nt2': 21, 'nt3': 56, 'nt4': 0, 'nt5': 0, 'nt6': 2, 'nt7': 16, 'nt8': 0, 'nt9': 0}, 
615.0, {'nt1': -0.026785715, 'nt10': -0.7410714, 'nt11': -3.861607, 'nt12': 0.0, 'nt13': -0.11160714, 'nt14': -0.41517857, 'nt15': -0.18303572, 'nt16': 0.0, 'nt2': -4.0, 'nt3': -4.0, 'nt4': 0.0, 'nt5': 0.0, 'nt6': -0.17410715, 'nt7': -4.0, 'nt8': 0.0, 'nt9': 0.0}, {'nt1': 1, 'nt10': 6, 'nt11': 14, 'nt12': 0, 'nt13': 3, 'nt14': 4, 'nt15': 3, 'nt16': 0, 'nt2': 16, 'nt3': 21, 'nt4': 0, 'nt5': 0, 'nt6': 2, 'nt7': 13, 'nt8': 0, 'nt9': 0}, {'nt1': 1, 'nt10': 6, 'nt11': 22, 'nt12': 0, 'nt13': 3, 'nt14': 5, 'nt15': 3, 'nt16': 0, 'nt2': 25, 'nt3': 57, 'nt4': 0, 'nt5': 0, 'nt6': 2, 'nt7': 17, 'nt8': 0, 'nt9': 0}, 
620.0, {'nt1': -0.0625, 'nt10': -0.71428573, 'nt11': -2.1919644, 'nt12': 0.0, 'nt13': 0.0, 'nt14': -0.52678573, 'nt15': -0.04017857, 'nt16': 0.0, 'nt2': -4.0, 'nt3': -4.0, 'nt4': 0.0, 'nt5': 0.0, 'nt6': -0.21875, 'nt7': -4.0, 'nt8': 0.0, 'nt9': 0.0}, {'nt1': 2, 'nt10': 6, 'nt11': 11, 'nt12': 0, 'nt13': 0, 'nt14': 4, 'nt15': 2, 'nt16': 0, 'nt2': 18, 'nt3': 22, 'nt4': 0, 'nt5': 0, 'nt6': 2, 'nt7': 14, 'nt8': 0, 'nt9': 0}, {'nt1': 2, 'nt10': 6, 'nt11': 17, 'nt12': 0, 'nt13': 0, 'nt14': 5, 'nt15': 2, 'nt16': 0, 'nt2': 27, 'nt3': 58, 'nt4': 0, 'nt5': 0, 'nt6': 2, 'nt7': 20, 'nt8': 0, 'nt9': 0}, 
625.0, {'nt1': 0.0, 'nt10': -0.84821427, 'nt11': -2.5714285, 'nt12': 0.0, 'nt13': 0.0, 'nt14': -0.54464287, 'nt15': -0.084821425, 'nt16': 0.0, 'nt2': -4.0, 'nt3': -4.0, 'nt4': 0.0, 'nt5': 0.0, 'nt6': -0.26339287, 'nt7': -4.0, 'nt8': 0.0, 'nt9': 0.0}, {'nt1': 0, 'nt10': 6, 'nt11': 11, 'nt12': 0, 'nt13': 0, 'nt14': 5, 'nt15': 2, 'nt16': 0, 'nt2': 19, 'nt3': 23, 'nt4': 0, 'nt5': 0, 'nt6': 2, 'nt7': 15, 'nt8': 0, 'nt9': 0}, {'nt1': 0, 'nt10': 6, 'nt11': 17, 'nt12': 0, 'nt13': 0, 'nt14': 5, 'nt15': 2, 'nt16': 0, 'nt2': 28, 'nt3': 58, 'nt4': 0, 'nt5': 0, 'nt6': 2, 'nt7': 20, 'nt8': 0, 'nt9': 0}, 
630.0, {'nt1': 0.0, 'nt10': -0.98214287, 'nt11': -2.950893, 'nt12': 0.0, 'nt13': 0.0, 'nt14': -0.3392857, 'nt15': -0.058035713, 'nt16': 0.0, 'nt2': -4.0, 'nt3': -4.0, 'nt4': 0.0, 'nt5': 0.0, 'nt6': -0.3080357, 'nt7': -4.0, 'nt8': 0.0, 'nt9': 0.0}, {'nt1': 0, 'nt10': 6, 'nt11': 11, 'nt12': 0, 'nt13': 0, 'nt14': 3, 'nt15': 2, 'nt16': 0, 'nt2': 20, 'nt3': 22, 'nt4': 0, 'nt5': 0, 'nt6': 2, 'nt7': 19, 'nt8': 0, 'nt9': 0}, {'nt1': 0, 'nt10': 6, 'nt11': 17, 'nt12': 0, 'nt13': 0, 'nt14': 4, 'nt15': 2, 'nt16': 0, 'nt2': 29, 'nt3': 56, 'nt4': 0, 'nt5': 0, 'nt6': 2, 'nt7': 24, 'nt8': 0, 'nt9': 0}, 
635.0, {'nt1': -0.008928572, 'nt10': -1.1160715, 'nt11': -3.3348215, 'nt12': 0.0, 'nt13': -0.013392857, 'nt14': -0.39732143, 'nt15': -0.026785715, 'nt16': 0.0, 'nt2': -4.0, 'nt3': -4.0, 'nt4': 0.0, 'nt5': 0.0, 'nt6': -0.3705357, 'nt7': -4.0, 'nt8': 0.0, 'nt9': 0.0}, {'nt1': 1, 'nt10': 6, 'nt11': 11, 'nt12': 0, 'nt13': 1, 'nt14': 3, 'nt15': 1, 'nt16': 0, 'nt2': 22, 'nt3': 22, 'nt4': 0, 'nt5': 0, 'nt6': 3, 'nt7': 20, 'nt8': 0, 'nt9': 0}, {'nt1': 1, 'nt10': 6, 'nt11': 18, 'nt12': 0, 'nt13': 1, 'nt14': 3, 'nt15': 1, 'nt16': 0, 'nt2': 31, 'nt3': 54, 'nt4': 0, 'nt5': 0, 'nt6': 3, 'nt7': 25, 'nt8': 0, 'nt9': 0}, 
640.0, {'nt1': -0.04464286, 'nt10': -1.25, 'nt11': -3.75, 'nt12': 0.0, 'nt13': -0.05357143, 'nt14': -0.11160714, 'nt15': -0.05357143, 'nt16': 0.0, 'nt2': -4.0, 'nt3': -4.0, 'nt4': 0.0, 'nt5': 0.0, 'nt6': -0.23660715, 'nt7': -4.0, 'nt8': 0.0, 'nt9': 0.0}, {'nt1': 2, 'nt10': 6, 'nt11': 11, 'nt12': 0, 'nt13': 2, 'nt14': 2, 'nt15': 1, 'nt16': 0, 'nt2': 23, 'nt3': 22, 'nt4': 0, 'nt5': 0, 'nt6': 2, 'nt7': 21, 'nt8': 0, 'nt9': 0}, {'nt1': 2, 'nt10': 6, 'nt11': 19, 'nt12': 0, 'nt13': 2, 'nt14': 3, 'nt15': 2, 'nt16': 0, 'nt2': 32, 'nt3': 56, 'nt4': 0, 'nt5': 0, 'nt6': 2, 'nt7': 28, 'nt8': 0, 'nt9': 0}, 
